1-2011;75242000
2-2011;75242000
3-2011;41100000
4-2011;75131000
5-2011;48000000,48612000
6-2011;51430000
7-2011;71356200
8-2011;45210000
9-2011;71356200,71621000
10-2011;71356200
11-2011;45233140,71541000
12-2011;79520000,79521000
13-2011;48420000,72212420,72227000,72261000,72263000,72267000
14-2011;77314100
15-2011;71000000
16-2011;33621300
17-2011;98310000,98315000
18-2011;79341400
19-2011;79710000
20-2011;34992200,45233280
21-2011;45214000
22-2011;51310000
23-2011;22212000
24-2011;90511100
25-2011;43261000
26-2011;34142300,34144510,34144750,42415210
27-2011;71247000,71248000
28-2011;33111000
29-2011;98380000
30-2011;33184500
31-2011;90911200
32-2011;33184200
33-2011;33100000,33123200,33161000,33182100,33190000,33192000,33192200,33192230
34-2011;33100000
35-2011;60400000,60600000
36-2011;80000000,80300000,80400000,80500000,80510000,80530000,80570000
37-2011;72413000,79341000,80522000,85312300
38-2011;90910000
39-2011;38432210
40-2011;45210000
41-2011;90700000
42-2011;66511000,66512100,66512210,66512220
43-2011;55524000
44-2011;09000000,09134000
45-2011;33696300
46-2011;38124000
47-2011;71356200
48-2011;79212000,79212100,79212300
49-2011;60112000
50-2011;30200000,30213100,30231100,32300000,32320000,32340000,32342300,32342400,32342410,32350000
51-2011;48610000
52-2011;37500000,37530000
53-2011;31120000,42522000
54-2011;33183100,33183200
55-2011;32344210
56-2011;30192700
57-2011;30213000,30213100,30232110,30236000,48820000
58-2011;45212322,45223000,45223100,45311200
59-2011;50721000
60-2011;71322000
61-2011;22315000
62-2011;43122000
63-2011;71320000
64-2011;39294100
65-2011;30237110,48190000,48200000,48300000,48400000,48600000,48780000,48800000,72100000,72200000,72263000,72265000,72267000,72300000,72400000,72600000,72700000,80420000,80490000
66-2011;45232400
67-2011;45214200
68-2011;14622000,14721000,44163000,44172000
69-2011;48782000,72267000
70-2011;71317210,71356100
71-2011;60100000
72-2011;66515200
73-2011;45312100
74-2011;33100000
75-2011;79420000,79996100
76-2011;66100000
77-2011;24440000
78-2011;45100000,45111200,45111300,45112710,45230000,45231300,45231400,45232200,45232423,45233200,45262310,45262311,45262600,45443000
79-2011;71900000
80-2011;77200000
81-2011;33696500
82-2011;30210000,30211200,30236000,30237131,45000000,45310000,48000000,48510000,48611000,48810000,48813000,48813200,48900000,66133000
83-2011;43200000
84-2011;30000000,30190000,30213100,30213300,30214000
85-2011;30200000,30213100,30237200,48310000
86-2011;31430000,34350000
87-2011;33696500
88-2011;60130000
89-2011;45200000,45214600,45215120
90-2011;50800000,55410000,55520000,70332200,79342000,79993000,92000000,92300000
91-2011;42990000,45000000,45221117,45222110,71321000
92-2011;48000000
93-2011;72250000,72263000,72268000
94-2011;31120000,31174000,31214100,42112200,42131210
95-2011;09132100,09134200
96-2011;71520000
97-2011;71248000,71313000,71800000,72224000,90713000
98-2011;30211300,32420000,48180000,48820000,51610000
99-2011;85121292
100-2011;45210000,45221000,45230000,45231000,45232000,45232440,45233000,45316000,71320000,71322000,71330000,71420000
101-2011;45100000,45200000,45300000,45400000
102-2011;50223000
103-2011;33130000
104-2011;15110000
105-2011;63000000
106-2011;33690000
107-2011;45212321
108-2011;90919200
109-2011;45100000,45110000,45112710,45200000,45231000,45231300,45233120,45233222,45233252,45262600,45300000,45310000,45311000,45400000
110-2011;90000000,90610000,90900000,90910000
111-2011;71620000,72200000,75100000,79951000
112-2011;03221000
113-2011;45212290,45454100
114-2011;45300000,45310000,45330000
115-2011;43122000
116-2011;71248000
117-2011;66113000
118-2011;45200000,45220000,45222000,45222100,45230000,45231300,45231400,45231600,71300000,71310000,71320000
119-2011;38433000
120-2011;30200000,30213000,30230000,30231300,31174000,31681000,31712114,32422000,38341300,38342000,38552000
121-2011;79900000
122-2011;90733100
123-2011;48180000,48211000,48219300,48219700,48820000
124-2011;33651510,33661200,33661300
125-2011;90733100
126-2011;31120000,42112210,45454100
127-2011;73220000,73300000,80210000,80530000
128-2011;24300000
129-2011;45233220
130-2011;34121000
131-2011;19640000,24455000,33711900,33771000,90910000
132-2011;33690000
133-2011;50413200
134-2011;71351810
135-2011;90000000
136-2011;79710000
137-2011;90910000
138-2011;38000000,38296000,38300000,38436700,38540000,48820000,48822000
139-2011;79340000,79342200
140-2011;38421100,51210000
141-2011;30210000,30211000,30211300,31213300,32322000,32330000,32420000,32422000,32500000,32550000,32551000,32551200,32552100,32580000,48200000,48421000,48600000,48700000,48800000,48820000,48822000
142-2011;45440000
143-2011;32543000,50332000,80533100
144-2011;45262510
145-2011;71221000,71222000
146-2011;33696500
147-2011;71240000
148-2011;79710000
149-2011;65210000
150-2011;71319000
151-2011;33100000,33170000
152-2011;42160000
153-2011;44163112,45252127,45332300
154-2011;09310000
155-2011;73000000
156-2011;77310000
157-2011;45000000,45111200,45223100,45233200,45233220,45261210,45262300,45262310,45262500,45313100,45316100,45320000,45331100,45340000,45410000,45421000,45421160,45431000,45432100,45442100,45450000
158-2011;60100000,60170000
159-2011;85000000
160-2011;85000000
161-2011;09132100,09134100
162-2011;90420000
163-2011;71000000
164-2011;33690000
165-2011;90680000
166-2011;45000000
167-2011;50220000
168-2011;72600000
169-2011;45100000,45111000,45200000,45231300,45233000
170-2011;50700000
171-2011;63122000
172-2011;72000000,72400000,73000000,79300000
173-2011;79419000
174-2011;90919200
175-2011;90700000
176-2011;79411000
177-2011;79311300,79311400
178-2011;73200000
179-2011;90700000
180-2011;79222000,79311410
181-2011;42414000,45223100,50531400,51511110
182-2011;45232400,45232423,45330000
183-2011;45214210,45261210,45261300,45261410
184-2011;44115900,45214210,45262670,45421110,45441000,45443000
185-2011;45247230
186-2011;45432130
187-2011;45000000
188-2011;45215130
189-2011;45215130
190-2011;45233142
191-2011;45241500
192-2011;45216113,45223500,45261420,45262500
193-2011;45231400,50232100
194-2011;14212000,45233210
195-2011;45261100
196-2011;45232410
197-2011;45232410
198-2011;45223100
199-2011;45332200
200-2011;45000000,45212300
201-2011;45100000,45200000,45221100,45221122,45232300,45234000,45234115,45300000,45400000,71320000,71322300
202-2011;44115800
203-2011;45211350
204-2011;45232410
205-2011;45112500,45232410,45233120,45316110
206-2011;45000000
207-2011;45000000,45211000
208-2011;45000000
209-2011;45233210,45233223
210-2011;45221111,45233110
211-2011;45261210
212-2011;45232460
213-2011;45262300
214-2011;45233140
215-2011;45454100
216-2011;45233142
217-2011;45233142
218-2011;45233250
219-2011;45261210,45262522,45421000,45442100
220-2011;45421000
221-2011;45233000
222-2011;45223300
223-2011;45421000
224-2011;45100000,45200000,45231300,45233120,45330000
225-2011;45100000,45200000,45231300,45233120,45330000
226-2011;45233221
227-2011;45000000
228-2011;45112500,45221111,45232410,45233110,45233210,45233221,45233292,45233294
229-2011;45110000,45212212
230-2011;45233120,45233128
231-2011;45000000,45432130
232-2011;45111100
233-2011;45000000
234-2011;45000000
235-2011;71300000
236-2011;45233140
237-2011;63712700
238-2011;45246400
239-2011;45421000
240-2011;45231300,45232423,45233120,45233142,45233200
241-2011;45000000,45442100
242-2011;45210000
243-2011;45112500,45232410,45233120,45233140,45233221
244-2011;90000000
245-2011;45421131
246-2011;45432100
247-2011;45214230
248-2011;45330000
249-2011;45000000
250-2011;48614000
251-2011;45400000
252-2011;45000000,45211000,45211200,45211300,45211341,45211350
253-2011;45453100
254-2011;45262800
255-2011;45453100
256-2011;45000000
257-2011;45214230
258-2011;45453100
259-2011;45453100
260-2011;31518000,44113320,45222000,45316110
261-2011;34928310
262-2011;44221000
263-2011;45421131
264-2011;45000000
265-2011;44163130,45112000,45222000,45232410
266-2011;45431000
267-2011;45453100
268-2011;45214200
269-2011;45231110,45231221,45231300,45232451
270-2011;45232410
271-2011;45220000
272-2011;45332000
273-2011;45310000,50710000
274-2011;33168000
275-2011;09310000
276-2011;42900000
277-2011;30234500,48820000
278-2011;30200000
279-2011;38510000
280-2011;33115200
281-2011;38124000
282-2011;33100000,51410000
283-2011;33100000
284-2011;38000000
285-2011;18000000
286-2011;33162200
287-2011;33640000
288-2011;24000000
289-2011;32350000,39100000,39154000
290-2011;09000000
291-2011;33100000
292-2011;09100000
293-2011;33195100
294-2011;34923000,34970000,34971000,45316210
295-2011;18530000
296-2011;33140000
297-2011;35200000
298-2011;33600000
299-2011;16100000
300-2011;03000000,15000000
301-2011;44610000
302-2011;37400000
303-2011;09123000
304-2011;35110000
305-2011;33168000
306-2011;33111740,33141200,33141220,33141230
307-2011;33141220,33184300
308-2011;15130000
309-2011;39132000
310-2011;33642100
311-2011;09134220
312-2011;33182100
313-2011;33100000
314-2011;09310000
315-2011;09123000
316-2011;44621220
317-2011;72317000
318-2011;33141625
319-2011;33113110
320-2011;09343000,33696400
321-2011;33140000
322-2011;33100000
323-2011;33192000
324-2011;44100000
325-2011;38000000
326-2011;14721000,44423400
327-2011;15110000,15540000,15882000,15893000,15897200
328-2011;33140000
329-2011;43315000
330-2011;15111000,15113000,15896000
331-2011;33000000
332-2011;32510000
333-2011;33771000
334-2011;30000000,30200000,30230000
335-2011;39830000
336-2011;44316400,44316500
337-2011;34521000
338-2011;48800000
339-2011;39160000
340-2011;34928400
341-2011;30213300,50312000
342-2011;15511210
343-2011;09134200
344-2011;33190000
345-2011;31711310
346-2011;33696500
347-2011;39222000
348-2011;24111500
349-2011;30192000,30195300
350-2011;37535220
351-2011;48820000
352-2011;42350000
353-2011;18424000
354-2011;30213100,30231300,30232000,32322000,33112300,38311100,38341300,38400000,38433000,38436600,38436700,38500000,38513200,38515000,38518200,38540000,38651600,39180000,42123400,42942000,48321000,48420000,48461000
355-2011;39291000
356-2011;22110000,22113000,22114000,22114100,22114500
357-2011;33184200
358-2011;35111300,50413200
359-2011;33696500,38000000
360-2011;34114000
361-2011;33711500
362-2011;42959000
363-2011;19200000
364-2011;19200000
365-2011;44613800
366-2011;18300000,18813000,18815000
367-2011;35100000
368-2011;33111620
369-2011;33141625
370-2011;48329000
371-2011;03120000
372-2011;33110000
373-2011;33111000
374-2011;33111000
375-2011;33190000
376-2011;48000000
377-2011;33100000
378-2011;31158100,31411000,31420000,31421000,31440000
379-2011;30120000,30121000,30121100,30121200,30232100,30232130
380-2011;39162110
381-2011;31710000
382-2011;39225000
383-2011;18424300,33141420
384-2011;15811100
385-2011;33100000
386-2011;34927100
387-2011;39162110
388-2011;33600000
389-2011;33100000
390-2011;33100000,39151000,51410000
391-2011;33128000
392-2011;37000000
393-2011;30121300,50313000
394-2011;39150000
395-2011;33141000,33141121,33141200,33184100
396-2011;72000000
397-2011;33690000
398-2011;15893100
399-2011;39100000
400-2011;48000000
401-2011;09344000
402-2011;44000000
403-2011;48210000,48510000,80510000
404-2011;09310000
405-2011;39220000
406-2011;22420000,22454000,22456000,22458000
407-2011;33111730,33183200
408-2011;34144213
409-2011;09134100
410-2011;33692000
411-2011;66114000
412-2011;66114000
413-2011;34144213
414-2011;33124210
415-2011;24911000,31711140,33140000,33600000
416-2011;48781000,48820000,72211000,72263000,80533000
417-2011;09310000
418-2011;33141110
419-2011;33140000,33141000
420-2011;48781000
421-2011;30125110,30192113,30197644,30199300,30199330
422-2011;31500000
423-2011;09310000
424-2011;38652000
425-2011;33690000
426-2011;39143000
427-2011;34144213
428-2011;09135100
429-2011;34114110
430-2011;30197643
431-2011;30000000,30200000,30212000,30214000
432-2011;30200000
433-2011;33100000
434-2011;14210000,14830000
435-2011;39130000
436-2011;22110000,30192700,30197630,37820000,39162110
437-2011;18424300,22993200,33140000,33141000,33198000,33199000,33721100,39512000,39518200
438-2011;30213000,30213100,30231310,30232110,48820000
439-2011;33690000
440-2011;30200000
441-2011;33696200
442-2011;30120000,30121100,30121300,50313000,50313100
443-2011;33600000
444-2011;09310000
445-2011;03142500,15111100,15112000,15113000,15130000,15500000,15511100,15612500,15800000,15893000,15896000
446-2011;44510000
447-2011;18444112,34431000,34922000,34928000,34928470,34928472,34990000,34992000,34992200,34996100,80000000
448-2011;16311000,16700000,34100000,42999100,44212318
449-2011;34110000
450-2011;79560000,79999100
451-2011;30125110,30192000,30197610,30237430
452-2011;09132100,09134100,09135100
453-2011;30200000
454-2011;38432200
455-2011;50300000,51300000,72000000,72100000,72300000,72500000,72600000,72700000,72800000
456-2011;48000000
457-2011;33100000
458-2011;33600000
459-2011;39162100
460-2011;42942200
461-2011;38293000
462-2011;60172000
463-2011;33000000
464-2011;48820000,48822000
465-2011;44613700,44613800
466-2011;33100000
467-2011;33100000
468-2011;30210000,32400000
469-2011;38000000
470-2011;38540000
471-2011;42990000
472-2011;44912100
473-2011;70200000
474-2011;33100000
475-2011;30121100
476-2011;44912100,44912400
477-2011;39370000,41110000
478-2011;34115000
479-2011;32321300
480-2011;35631200
481-2011;33100000,33141600,33157000
482-2011;18110000,18310000,19231000
483-2011;48000000
484-2011;39160000
485-2011;18100000
486-2011;24962000
487-2011;38112100
488-2011;33100000
489-2011;39311000
490-2011;33696500,50420000
491-2011;34350000,34351100,34352000,34352100,50112000
492-2011;30195000,39111000,39122100,39130000,39221110
493-2011;09130000
494-2011;65310000
495-2011;15110000,15111000,15111100,15111200,15112000,15112110,15112120,15112130,15112140,15112300,15113000,15114000
496-2011;33111600
497-2011;32344200,32352000,34731000
498-2011;09135100
499-2011;30213400,33195100,48000000
500-2011;34350000,34351000,34351100,34352000,34352100,34352200,50118100,50118200,50118300,50118400
501-2011;33182220,33184300
502-2011;09130000
503-2011;33600000
504-2011;09300000
505-2011;34927100
506-2011;32321200
507-2011;22993100
508-2011;63700000
509-2011;33600000
510-2011;30200000
511-2011;03144000
512-2011;15894700
513-2011;34114000
514-2011;72268000
515-2011;09110000,09132100,09134000,09211100
516-2011;33100000
517-2011;42993000
518-2011;44175000
519-2011;50112000,50117300
520-2011;33600000
521-2011;33100000
522-2011;31700000,34731000
523-2011;33141110
524-2011;38636100
525-2011;30121200
526-2011;44114100
527-2011;48311000
528-2011;33000000,39224300
529-2011;30125100,30192113,30237300
530-2011;09111210
531-2011;48311100
532-2011;33141121
533-2011;03200000,15000000,15100000,15500000,15800000,15980000
534-2011;09300000
535-2011;30100000
536-2011;34521300
537-2011;30163100
538-2011;33181520
539-2011;33600000
540-2011;30197643
541-2011;15842100
542-2011;30121100
543-2011;33140000
544-2011;22458000
545-2011;33690000
546-2011;38634000
547-2011;31120000,38342000
548-2011;30213300,30231000,48820000
549-2011;30192000
550-2011;33111100,33111650
551-2011;33168000
552-2011;33000000
553-2011;38600000
554-2011;18100000
555-2011;15100000,15200000,15300000,15500000,15800000,33700000
556-2011;30230000,48000000
557-2011;09323000
558-2011;33690000
559-2011;33621000
560-2011;30230000
561-2011;30213100,30213300,30216110,30231300,30232110,48820000
562-2011;09100000,09121200,09122000,09132000,09134000,09134200
563-2011;03221200,03311000,15511000,15894700,15896000
564-2011;38000000
565-2011;15000000
566-2011;34115200
567-2011;34927100
568-2011;09323000
569-2011;38511100
570-2011;34114121
571-2011;33124130
572-2011;48821000,51611100,72222300,72268000
573-2011;33190000
574-2011;31520000
575-2011;33100000
576-2011;65310000
577-2011;38000000
578-2011;35200000
579-2011;
580-2011;33696600
581-2011;71221000
582-2011;71221000,71222000
583-2011;45000000
584-2011;71230000
585-2011;92111100,92111200
586-2011;64226000
587-2011;79900000
588-2011;71300000
589-2011;60112000,60120000,60130000,60140000
590-2011;79421100
591-2011;73000000
592-2011;50118110,63121100
593-2011;90900000,90910000,90911000,90911200,90911300,90919000,90919200
594-2011;32320000
595-2011;55000000
596-2011;80110000
597-2011;60130000
598-2011;79311200,79311210
599-2011;64100000
600-2011;22000000
601-2011;60112000,60120000,60130000,60140000
602-2011;64200000,72400000
603-2011;60112000
604-2011;71354300
605-2011;71323100
606-2011;71220000,71248000
607-2011;66515100
608-2011;64200000
609-2011;66515100
610-2011;71250000
611-2011;60181000
612-2011;80550000
613-2011;64200000
614-2011;71300000,71311000,71312000,71320000,71322300,71322500,71323200,71324000
615-2011;90620000,90630000
616-2011;85323000
617-2011;71354000
618-2011;71300000,71311000,71312000,71320000,71322300,71322500,71323200,71324000
619-2011;77210000
620-2011;55300000
621-2011;77230000
622-2011;77210000
623-2011;90520000
624-2011;66514110,66516100
625-2011;35111320
626-2011;90513000
627-2011;85148000
628-2011;71000000
629-2011;48000000
630-2011;85312320
631-2011;45233141,75251120,77200000,77210000,77230000,77231000
632-2011;72261000
633-2011;71240000,71322100
634-2011;71247000
635-2011;75100000
636-2011;72212900
637-2011;71250000
638-2011;98300000
639-2011;71000000,71500000
640-2011;50230000
641-2011;79800000
642-2011;79710000
643-2011;85312510
644-2011;79111000,79112000
645-2011;77200000
646-2011;60112000
647-2011;77200000
648-2011;71351810
649-2011;66512000,66513000,66514110,66515200,66516000
650-2011;64110000
651-2011;50870000
652-2011;71356200
653-2011;72212000,72240000,80420000
654-2011;90511000
655-2011;72230000
656-2011;72400000,72417000
657-2011;64121100
658-2011;34928480
659-2011;90513000
660-2011;66113000
661-2011;80500000
662-2011;80500000
663-2011;90500000
664-2011;85311200
665-2011;70330000
