3000000;"Agricultural, farming, fishing, forestry and related products.";"1000000";"Agricultural, horticultural, hunting and related products."
3100000;"Agricultural and horticultural products.";"1000000";"Agricultural, horticultural, hunting and related products."
3110000;"Crops, products of market gardening and horticulture.";"1100000";"Crops, products of market gardening and horticulture."
3111000;"Seeds.";"1113000";"Oil seeds and oleaginous fruit."
3111100;"Soya beans.";"1113000";"Oil seeds and oleaginous fruit."
;;"1113100";"Soya beans."
3111200;"Peanuts.";"1113000";"Oil seeds and oleaginous fruit."
;"#N/A";"1113200";"Peanuts."
3111300;"Sunflower seeds.";"1113000";"Oil seeds and oleaginous fruit."
;;"1113300";"Sunflower seeds."
3111400;"Cotton seeds.";"1113000";"Oil seeds and oleaginous fruit."
;"#N/A";"1113400";"Cotton seeds."
3111500;"Sesame seeds.";"1113000";"Oil seeds and oleaginous fruit."
;;"1113500";"Sesame seeds."
3111600;"Mustard seeds.";"1113000";"Oil seeds and oleaginous fruit."
;"#N/A";"1113600";"Mustard seeds."
3111700;"Vegetable seeds.";"1121500";"Vegetable seeds."
3111800;"Fruit seeds.";"1131500";"Fruit seeds."
3111900;"Flower seeds.";"1122300";"Flower seeds."
3112000;"Unmanufactured tobacco.";"1114000";"Unmanufactured tobacco."
3113000;"Plants used for sugar manufacturing.";"1115000";"Plants used for sugar manufacturing."
3113100;"Sugar beet.";"1115100";"Sugar beet."
3113200;"Sugar cane.";"1115200";"Sugar cane."
3114000;"Straw and forage.";"1116000";"Straw and forage."
3114100;"Straw.";"1116100";"Straw."
3114200;"Forage.";"1116200";"Forage."
3115000;"Raw vegetable materials.";"1117000";"Raw vegetable materials."
3115100;"Raw vegetable materials used in textile production.";"1117100";"Raw vegetable materials used in textile production."
3115110;"Cotton.";"1117110";"Cotton."
3115120;"Jute.";"1117120";"Jute."
3115130;"Flax.";"1117130";"Flax."
3116000;"Natural rubber and latex and associated products.";"1118000";"Natural rubber and latex and associated products."
3116100;"Natural rubber.";"1118100";"Natural rubber."
3116200;"Natural latex.";"1118200";"Natural latex."
3116300;"Latex products.";"1118210";"Latex products."
