BG413;Blagoevgrad
BG414;Pernik
BG415;Kyustendil
BG42;Yuzhen tsentralen
BG421;Plovdiv
BG422;Haskovo
BG423;Pazardzhik
BG424;Smolyan
BG425;Kardzhali
BGZ;EXTRA-REGIO
BGZZ;Extra-Regio
BGZZZ;Extra-Regio
CZ;ČESKÁ REPUBLIKA
CZ0;ČESKÁ REPUBLIKA
CZ01;Praha
CZ010;Hlavní město Praha
CZ02;Střední Čechy
CZ020;Středočeský kraj
CZ03;Jihozápad
CZ031;Jihočeský kraj
CZ032;Plzeňský kraj
CZ04;Severozápad
CZ041;Karlovarský kraj
CZ042;Ústecký kraj
CZ05;Severovýchod
CZ051;Liberecký kraj
CZ052;Královéhradecký kraj
CZ053;Pardubický kraj
CZ06;Jihovýchod
CZ063;Vysočina
CZ064;Jihomoravský kraj
CZ07;Střední Morava
CZ071;Olomoucký kraj
CZ072;Zlínský kraj
CZ08;Moravskoslezsko
CZ080;Moravskoslezský kraj
CZZ;EXTRA-REGIO
CZZZ;Extra-Regio
CZZZZ;Extra-Regio
DK;DANMARK
DK0;DANMARK
DK01;Hovedstaden
DK011;Byen København
DK012;Københavns omegn
DK013;Nordsjælland
DK014;Bornholm
DK02;Sjælland
DK021;Østsjælland
DK022;Vest- og Sydsjælland
DK03;Syddanmark
DK031;Fyn
DK032;Sydjylland
DK04;Midtjylland
DK041;Vestjylland
DK042;Østjylland
DK05;Nordjylland
DK050;Nordjylland
DKZ;EXTRA-REGIO
DKZZ;Extra-Regio
DKZZZ;Extra-Regio
DE;DEUTSCHLAND
DE1;BADEN-WÜRTTEMBERG
DE11;Stuttgart
DE111;Stuttgart, Stadtkreis
DE112;Böblingen
DE113;Esslingen
DE114;Göppingen
DE115;Ludwigsburg
DE116;Rems-Murr-Kreis
DE117;Heilbronn, Stadtkreis
DE118;Heilbronn, Landkreis
DE119;Hohenlohekreis
DE11A;Schwäbisch Hall
DE11B;Main-Tauber-Kreis
DE11C;Heidenheim
DE11D;Ostalbkreis
DE12;Karlsruhe
DE121;Baden-Baden, Stadtkreis
DE122;Karlsruhe, Stadtkreis
DE123;Karlsruhe, Landkreis
DE124;Rastatt
DE125;Heidelberg, Stadtkreis
DE126;Mannheim, Stadtkreis
DE127;Neckar-Odenwald-Kreis
DE128;Rhein-Neckar-Kreis
DE129;Pforzheim, Stadtkreis
DE12A;Calw
DE12B;Enzkreis
DE12C;Freudenstadt
DE13;Freiburg
