ITC42;Como
ITC43;Lecco
ITC44;Sondrio
ITC45;Milano
ITC46;Bergamo
ITC47;Brescia
ITC48;Pavia
ITC49;Lodi
ITC4A;Cremona
ITC4B;Mantova
ITD;NORD-EST
ITD1;Provincia Autonoma Bolzano/Bozen
ITD10;Bolzano-Bozen
ITD2;Provincia Autonoma Trento
ITD20;Trento
ITD3;Veneto
ITD31;Verona
ITD32;Vicenza
ITD33;Belluno
ITD34;Treviso
ITD35;Venezia
ITD36;Padova
ITD37;Rovigo
ITD4;Friuli-Venezia Giulia
ITD41;Pordenone
ITD42;Udine
ITD43;Gorizia
ITD44;Trieste
ITD5;Emilia-Romagna
ITD51;Piacenza
ITD52;Parma
ITD53;Reggio nell'Emilia
ITD54;Modena
ITD55;Bologna
ITD56;Ferrara
ITD57;Ravenna
ITD58;Forlì-Cesena
ITD59;Rimini
ITE;CENTRO (I)
ITE1;Toscana
ITE11;Massa-Carrara
ITE12;Lucca
ITE13;Pistoia
ITE14;Firenze
ITE15;Prato
ITE16;Livorno
ITE17;Pisa
ITE18;Arezzo
ITE19;Siena
ITE1A;Grosseto
ITE2;Umbria
ITE21;Perugia
ITE22;Terni
ITE3;Marche
ITE31;Pesaro e Urbino
ITE32;Ancona
ITE33;Macerata
ITE34;Ascoli Piceno
ITE4;Lazio
ITE41;Viterbo
ITE42;Rieti
ITE43;Roma
ITE44;Latina
ITE45;Frosinone
ITF;SUD
ITF1;Abruzzo
ITF11;L'Aquila
ITF12;Teramo
ITF13;Pescara
ITF14;Chieti
ITF2;Molise
ITF21;Isernia
ITF22;Campobasso
ITF3;Campania
ITF31;Caserta
ITF32;Benevento
ITF33;Napoli
ITF34;Avellino
ITF35;Salerno
ITF4;Puglia
ITF41;Foggia
ITF42;Bari
ITF43;Taranto
ITF44;Brindisi
ITF45;Lecce
ITF5;Basilicata
ITF51;Potenza
ITF52;Matera
ITF6;Calabria
ITF61;Cosenza
