239250-2008;30210000,30232100,48820000
239251-2008;39300000
239252-2008;71356200
239253-2008;71356200
239254-2008;30213100,30232100,38651000
239255-2008;72514200
239256-2008;30236000
239257-2008;71356200
239258-2008;71356200
239259-2008;71356200
239260-2008;32321200,32322000
239261-2008;39134000
239262-2008;30236000
239263-2008;34100000
239264-2008;71356200
239265-2008;34900000,39300000,42000000,42122000,42961200,44163100,44621200
239266-2008;45232100,45232150,45232410
239267-2008;42415100
239268-2008;45232100,45232150,45232410
239269-2008;63500000
239270-2008;44424200
239271-2008;71315000
239272-2008;30191000,30197000,30210000,32522000,39130000
239273-2008;60100000
239274-2008;77314100,90600000,90611000,90612000,90620000,90630000
239275-2008;45000000,45100000,45110000,45200000,45230000,45233000
239276-2008;32000000,32270000,32352100,32510000,32520000
239277-2008;45216120,70112000
239278-2008;34144210,35111000
239279-2008;18132000,33157110,34522200,35813000
239280-2008;35110000
239281-2008;45200000,45240000,71311100,71322000
239282-2008;79411000
239283-2008;
239284-2008;45233140
239285-2008;85311300
239286-2008;44318000
239287-2008;79341000
239288-2008;33111800
239289-2008;70110000,71000000,71240000,79111000,79314000
239290-2008;77310000
239291-2008;32232000,32320000,32340000,32350000
239292-2008;18100000,18800000
239293-2008;45111291,45210000
239294-2008;45000000
239295-2008;31625000,32235000,32360000,35120000,35121000,35125000,44221000,44421500,45312000,45316000,45421100
239296-2008;48821000
239297-2008;71000000,79100000,79200000
239298-2008;90919200
239299-2008;72000000,72500000
239300-2008;72310000,79810000
239301-2008;85000000
239302-2008;90919200
239303-2008;79410000
239304-2008;79410000
239305-2008;72210000,72310000,72314000,72316000,73110000,73111000,73210000,79300000,79311000,79311100,79311200,79311300,79311400,79330000,90700000,90713000
239306-2008;45221000
239307-2008;45210000
239308-2008;45200000
239309-2008;45110000,45262310,45262320,45410000
239310-2008;45233120,45233124,45233128
239311-2008;45112100,45232400,45232410,45232450,45332300
239312-2008;39515000
239313-2008;45453000
239314-2008;45331110
239315-2008;45112400
239316-2008;45214220
239317-2008;45454100
239318-2008;45000000,45261300,45261400,45261900,45262000
239319-2008;45232460,45332400
239320-2008;45331000
239321-2008;45110000,45210000
239322-2008;45311200
239323-2008;45233110,45233200
239324-2008;45442100
239325-2008;45262100
239326-2008;45432100
239327-2008;32322000
239328-2008;45331200,45331210
239329-2008;31527260,45311200,45316000,45316100
239330-2008;45316000
239331-2008;45350000
239332-2008;45313100
239333-2008;45212420,45223220,45261410,45262310,45262500
239334-2008;45233100,45233120
239335-2008;45232120,45247210
239336-2008;15112000,15119000,15131120
239337-2008;22200000
239338-2008;34144420
239339-2008;30000000,30200000
239340-2008;33131000,33136000,33138000,33192410
239341-2008;24000000
239342-2008;32323300,32323400
239343-2008;39181000
239344-2008;37315100
239345-2008;39130000
239346-2008;33000000
239347-2008;31681400
239348-2008;44316510
239349-2008;15896000
239350-2008;33184200
239351-2008;32441300
239352-2008;33100000
239353-2008;39000000
239354-2008;32222000
239355-2008;09131000
239356-2008;39160000
