"name","count"
"Trabajos de construcción",25253
"Servicios de arquitectura, construcción, ingeniería e inspección",13998
"Servicios de limpieza de edificios",9717
"Servicios de limpieza",9679
"Productos farmacéuticos",9369
"Trabajos de construcción de inmuebles",9344
"Equipamiento médico",8420
"Servicios de seguros",8401
"Servicios TI: consultoría, desarrollo de software, Internet y apoyo",8103
"Servicios de ingeniería",8039
"Servicios de concesión de crédito",7321
"Servicios de arquitectura y servicios conexos",7220
"Paquetes de software y sistemas de información",7206
"Electricidad",7144
"Trabajos generales de construcción de inmuebles y obras de ingeniería civil",6995
"Servicios de arquitectura, ingeniería y planificación",6808
"Servicios forestales",6559
"Servicios de diseño técnico",6387
"Equipo y material informático",6303
"Servicios de reparación y mantenimiento",6178
"Equipamiento y artículos médicos, farmacéuticos y de higiene personal",5753
"Servicios relacionados con desperdicios y residuos",5697
"Trabajos de construcción de carreteras",5519
"Material médico fungible",5287
"Reactivos de laboratorio",5252
"Servicios de transporte por carretera",5205
"Servicios de arquitectura para edificios",5185
"Trabajos de fontanería",5071
"Servicios especiales de transporte de pasajeros por carretera",4995
"Servicios de seguros de responsabilidad civil",4962
"Trabajos de instalación en edificios",4741
"Trabajos de instalación eléctrica",4734
"Alimentos, bebidas, tabaco y productos afines",4727
"Servicios de limpieza de ventanas",4713
"Servicios de plantación y mantenimiento de zonas verdes",4625
"Trabajos de instalación de calefacción, ventilación y aire acondicionado",4624
"Servicios de reparación y mantenimiento de equipos de edificios",4526
"Equipo de laboratorio, óptico y de precisión (excepto gafas)",4511
"Servicios de seguros de automóviles",4507
"Servicios de limpieza de oficinas",4380
"Servicios de seguridad",4253
"Servicios de transporte por la vía pública",4102
"Trabajos de ebanistería",4037
"Servicios de seguros de cosas",4002
"Servicios de limpieza y eliminación de nieve",4002
"Trabajos de construcción de edificios escolares",3949
"Servicios de salud",3932
"Productos alimenticios diversos",3761
"Servicios de transporte de desperdicios",3663
"Servicios de telecomunicaciones",3608
