"name","count"
"Κατασκευαστικές εργασίες",25253
"Υπηρεσίες αρχιτεκτονικής, κατασκευαστικών έργων, έργων πολιτικού μηχανικού και επίβλεψης",13998
"Υπηρεσίες καθαρισμού κτιρίων",9717
"Υπηρεσίες καθαρισμού",9679
"Φαρμακευτικά προϊόντα",9369
"Εργασίες κατασκευής κτιρίων",9344
"Ιατρικές συσκευές",8420
"Υπηρεσίες ασφάλισης",8401
"Υπηρεσίες τεχνολογίας των πληροφοριών: παροχή συμβουλών, ανάπτυξη λογισμικού, Διαδίκτυο και υποστήριξη",8103
"Υπηρεσίες μηχανικού",8039
"Υπηρεσίες χορήγησης πίστωσης",7321
"Αρχιτεκτονικές και συναφείς υπηρεσίες",7220
"Πακέτα λογισμικού και συστήματα πληροφορικής",7206
"Ηλεκτρισμός",7144
"Εργασίες για ολόκληρες κατασκευές ή μέρη κατασκευών και έργα πολιτικού μηχανικού",6995
"Υπηρεσίες αρχιτέκτονα, μηχανικού και τεχνικού γραφείου",6808
"Υπηρεσίες δασοκομίας",6559
"Υπηρεσίες εκπόνησης τεχνικών μελετών",6387
"Εξοπλισμός ηλεκτρονικών υπολογιστών και προμήθειες",6303
"Υπηρεσίες επισκευής και συντήρησης",6178
"Ιατρικές συσκευές, φαρμακευτικά προϊόντα και προϊόντα ατομικής περιποίησης",5753
"Υπηρεσίες σχετιζόμενες με απορρίμματα και απόβλητα",5697
"Έργα οδοποιίας",5519
"Ιατρικά αναλώσιμα",5287
"Αντιδραστήρια εργαστηρίων",5252
"Υπηρεσίες οδικών μεταφορών",5205
"Αρχιτεκτονικές υπηρεσίες για κτίρια",5185
"Υδραυλικές εργασίες",5071
"Υπηρεσίες ειδικών οδικών μεταφορών επιβατών",4995
"Υπηρεσίες ασφάλισης αστικής ευθύνης",4962
"Εργασίες κτιριακών εγκαταστάσεων",4741
"Εργασίες ηλεκτρολογικών εγκαταστάσεων",4734
"Τρόφιμα, ποτά, καπνός και συναφή προϊόντα",4727
"Υπηρεσίες καθαρισμού υαλοπινάκων",4713
"Φύτευση και συντήρηση χώρων πρασίνου",4625
"Εργασίες εγκαταστάσεων θέρμανσης, αερισμού και κλιματισμού",4624
"Υπηρεσίες επισκευής και συντήρησης εγκαταστάσεων κτιρίου",4526
"Εξοπλισμός εργαστηριακός, οπτικός και ακριβείας (εκτός από γυαλιά)",4511
"Υπηρεσίες ασφάλισης μηχανοκίνητων οχημάτων",4507
"Υπηρεσίες καθαρισμού γραφείων",4380
"Υπηρεσίες ασφάλειας",4253
"Υπηρεσίες δημόσιων οδικών μεταφορών",4102
"Εργασίες ξυλουργικής",4037
"Υπηρεσίες ασφάλισης περιουσίας",4002
"Υπηρεσίες εκχιονισμού",4002
"Κατασκευαστικές εργασίες για σχολικά κτίρια",3949
"Υγειονομικές υπηρεσίες",3932
"Διάφορα προϊόντα διατροφής",3761
"Υπηρεσίες μεταφοράς απορριμμάτων",3663
"Υπηρεσίες τηλεπικοινωνιών",3608
