"name","count"
"FRANCE",231200
"POLSKA",109974
"DEUTSCHLAND",109027
"ESPAÑA",64397
"UNITED KINGDOM",63281
"ITALIA",52931
"BELGIQUE-BELGIË",27061
"ROMÂNIA",26275
"NEDERLAND",23546
"ČESKÁ REPUBLIKA",23274
"SVERIGE",21984
"ÖSTERREICH",17013
"SUOMI / FINLAND",15623
"MAGYARORSZÁG",15594
"ΕΛΛΑΔΑ / ELLADA",14624
"ΕΛΛΑΔΑ",14624
"DANMARK",12582
"БЪЛГАРИЯ / BULGARIA",11586
"БЪЛГАРИЯ",11586
"Danmark",11241
"SLOVENIJA",10059
"LIETUVA",9577
"SLOVENSKÁ REPUBLIKA",8122
"PORTUGAL",8109
"Île de France",7108
"IRELAND",6765
"Miasto Warszawa",5459
"Paris",5321
"LATVIJA",5185
"Bouches-du-Rhône",5060
"Budapest",4994
"Nord",4687
"Bucureşti",4634
"EESTI",4501
"Berlin",4374
"Rhône",4186
"Madrid",4028
"München, Kreisfreie Stadt",3809
"Luxembourg (Grand-Duché)",3678
"Wien",3631
"Stockholms län",3410
"Barcelona",3327
"Alpes-Maritimes",3280
"LUXEMBOURG (GRAND-DUCHÉ)",3267
"Hlavní město Praha",3214
"Hauts-de-Seine",3172
"Var",2944
"Berlin-Ost, Stadt",2901
"Berlin-West, Stadt",2901
"ÎLE DE FRANCE",2897
