"name","count"
"Construção",25253
"Serviços de arquitectura, construção, engenharia e inspecção",13998
"Serviços de limpeza de edifícios",9717
"Serviços de limpeza",9679
"Produtos farmacêuticos",9369
"Construção de edifícios",9344
"Equipamento médico",8420
"Serviços de seguros",8401
"Serviços de TI: consultoria, desenvolvimento de software, Internet e apoio",8103
"Serviços de engenharia",8039
"Serviços de concessão de crédito",7321
"Serviços de arquitectura e afins",7220
"Pacotes de software e sistemas de informação",7206
"Electricidade",7144
"Obras de construção total ou parcial e de engenharia civil",6995
"Serviços de arquitectura, engenharia e planeamento",6808
"Serviços florestais",6559
"Serviços de concepção técnica",6387
"Equipamento e material informático",6303
"Serviços de reparação e manutenção",6178
"Equipamento médico, medicamentos e produtos para cuidados pessoais",5753
"Serviços relativos a resíduos e lixos",5697
"Construção de estradas",5519
"Material médico de consumo",5287
"Reagentes de laboratório",5252
"Serviços de transporte rodoviário",5205
"Serviços de arquitectura para edifícios",5185
"Instalação de canalizações",5071
"Serviços de transporte rodoviário de passageiros com finalidade específica",4995
"Serviços de seguros de responsabilidade civil",4962
"Instalações em edifícios",4741
"Obras de instalação eléctrica",4734
"Produtos alimentares, bebidas, tabaco e produtos afins",4727
"Serviços de limpeza de janelas",4713
"Serviços de plantação e manutenção de áreas verdes",4625
"Instalação de aquecimento, ventilação e ar condicionado",4624
"Serviços de reparação e manutenção de equipamento em edifícios",4526
"Equipamento laboratorial, óptico e de precisão (exc. óculos)",4511
"Serviços de seguro automóvel",4507
"Serviços de limpeza de escritórios",4380
"Serviços de segurança",4253
"Serviços de transporte público rodoviário",4102
"Obras de marcenaria",4037
"Serviços de seguros de bens",4002
"Serviços de limpeza de neve",4002
"Construção de edifícios escolares",3949
"Serviços de saúde",3932
"Produtos alimentares diversos",3761
"Serviços de transporte de resíduos",3663
"Serviços de telecomunicações",3608
