"name","count"
"Trabajos de construcción",25253
"Servicios de arquitectura, construcción, ingeniería e inspección",13998
"Servicios de limpieza de edificios",9717
"Servicios de limpieza",9679
"Productos farmacéuticos",9369
"Trabajos de construcción de inmuebles",9344
"Equipamiento médico",8420
"Servicios de seguros",8401
"Servicios TI: consultoría, desarrollo de software, Internet y apoyo",8103
"Servicios de ingeniería",8039
"Servicios de concesión de crédito",7321
"Servicios de arquitectura y servicios conexos",7220
"Paquetes de software y sistemas de información",7206
"Electricidad",7144
"Trabajos generales de construcción de inmuebles y obras de ingeniería civil",6995
"Servicios de arquitectura, ingeniería y planificación",6808
"Servicios forestales",6559
"Servicios de diseño técnico",6387
"Equipo y material informático",6303
"Servicios de reparación y mantenimiento",6178
"Equipamiento y artículos médicos, farmacéuticos y de higiene personal",5753
"Servicios relacionados con desperdicios y residuos",5697
"Trabajos de construcción de carreteras",5519
"Material médico fungible",5287
"Reactivos de laboratorio",5252
"Servicios de transporte por carretera",5205
"Servicios de arquitectura para edificios",5185
"Trabajos de fontanería",5071
"Servicios especiales de transporte de pasajeros por carretera",4995
"Servicios de seguros de responsabilidad civil",4962
"Trabajos de instalación en edificios",4741
"Trabajos de instalación eléctrica",4734
"Alimentos, bebidas, tabaco y productos afines",4727
"Servicios de limpieza de ventanas",4713
"Servicios de plantación y mantenimiento de zonas verdes",4625
"Trabajos de instalación de calefacción, ventilación y aire acondicionado",4624
"Servicios de reparación y mantenimiento de equipos de edificios",4526
"Equipo de laboratorio, óptico y de precisión (excepto gafas)",4511
"Servicios de seguros de automóviles",4507
"Servicios de limpieza de oficinas",4380
"Servicios de seguridad",4253
"Servicios de transporte por la vía pública",4102
"Trabajos de ebanistería",4037
"Servicios de seguros de cosas",4002
"Servicios de limpieza y eliminación de nieve",4002
"Trabajos de construcción de edificios escolares",3949
"Servicios de salud",3932
"Productos alimenticios diversos",3761
"Servicios de transporte de desperdicios",3663
"Servicios de telecomunicaciones",3608
"Servicios de alcantarillado, basura, limpieza y medio ambiente",3596
"Servicios de asistencia técnica",3556
"Servicios de diseño técnico para la construcción de obras de ingeniería civil",3547
"Servicios de supervisión de obras",3537
"Servicios de seguros de daños",3532
"Trabajos de obra bruta",3531
"Trabajos de pintura",3526
"Obras viales",3509
"Trabajos de movimiento de tierras",3484
"Trabajos de instalación de accesorios eléctricos",3453
"Obras de saneamiento",3392
"Servicios de consultoría en ingeniería y construcción",3372
"Trabajos de construcción de edificios relacionados con la salud",3331
"Productos consumibles médicos no químicos desechables y productos consumibles hematológicos",3316
"Servicios de diseño arquitectónico",3307
"Servicios de guardias de seguridad",3307
"Servicios de transporte (excluido el transporte de residuos)",3273
"Mobiliario",3199
"Medicamentos diversos",3156
"Vehículos de motor",3022
"Eliminación y tratamiento de desperdicios",3016
"Servicios de investigación y desarrollo y servicios de consultoría conexos",3008
"Ordenadores portátiles",2999
"Servicios financieros y de seguros",2984
"Trabajos de enlucido",2969
"Servicios de salud y asistencia social",2909
"Obras de ingeniería y trabajos de construcción",2846
"Servicios de tratamiento y eliminación de desperdicios y residuos no peligrosos",2844
"Trabajos de paisajismo",2836
"Instrumentos y aparatos médicos diversos",2833
"Servicios telefónicos y de transmisión de datos",2806
"Acabado de edificios",2793
"Servicios de recogida de desperdicios",2778
"Trabajos de construcción de tuberías para agua y aguas residuales",2776
"Servicios informáticos",2748
"Servicios de seguros de accidentes y de enfermedad",2745
"Servicios de consultoría en ingeniería civil",2730
"Muebles de oficina",2708
"Gasolina sin plomo",2688
"Vehículos de extinción de incendios",2686
"Servicios de limpieza de viviendas, edificios y ventanas",2668
"Trabajos de instalación de cableado y accesorios eléctricos",2661
"Instalación de ascensores",2592
"Servidores",2586
"Servicios de mantenimiento y reparación de software",2585
"Servicios de enseñanza y formación",2563
"Servicios de publicidad y de marketing",2542
"Equipo relacionado con la informática",2531
"Trabajos de demolición",2527
"Servicios varios de reparación y mantenimiento",2498
