ID, Pregunta, Cumplimiento, 15 Criterios
1, Identifier Patterns,,
1.1 , Hierarchical URIs , , 
1.2 , Literal Keys , ,  
1.3 , Natural Keys , , 
1.4 , Patterned URIs , , 
1.5 , Proxy URIs , , 
1.6 , Shared Keys , ,  
1.7 , URL Slug , ,  
2, Modelling Patterns,,
2.1 , Custom Datatype , , 
2.2 , Index Resources , ,  
2.3 , Label Everything , ,   
2.4 , Link Not Label , , 
2.5 , Multi-Lingual Literal , , 
2.6 , N-Ary Relation , , 
2.7 , Ordered List , ,   
2.8 , Ordering Relation , ,  
2.9 , Preferred Label , , 
2.10 , Qualified Relation , ,   
2.11 , Reified Statement , ,  
2.12 , Topic Relation , ,  
2.13 , Typed Literal , ,  
3, Publishing Patterns,,
3.1 , Annotation , ,  
3.2 , Autodiscovery , ,  
3.3 , Document Type , ,   
3.4 , Edit Trail , ,  
3.5 , Embedded Metadata , ,  
3.6 , Equivalence Links , ,  
3.7 , Link Base , ,   
3.8 , Materialize Inferences , ,   
3.9 , Named Graphs , ,  
3.10 , Primary Topic Autodiscovery , ,  
3.11 , Progressive Enrichment , ,  
3.12 , See Also , ,  
4, Application Patterns,,
4.1 , Assertion Query , ,  
4.2 , Blackboard , , 
4.3 , Bounded Description , ,   
4.4 , Composite Descriptions , , 
4.5 , Follow Your Nose, , 
4.6 , Missing Isn't Broken , ,  
4.7 , Parallel Loading , ,   
4.8 , Parallel Retrieval , ,   
4.9 , Resource Caching , ,  
4.10 , Schema Annotation , ,  
4.11 , Smushing , ,  
4.12 , Transformation Query , , 
